weight,StateAbbr,age,votereg,party_ID,askvote,vote_method
1.15875566123707,OH,62,1,1,5,1
0.340217371305808,OH,51,1,1,NA,NA
0.852878510068502,OH,50,1,3,5,1
0.369225104971249,OH,81,1,3,5,1
0.555588252887409,OH,74,1,1,5,3
0.123354282440898,OH,76,1,4,5,1
1.9476310737185,OH,67,1,3,5,3
0.269346377761494,OH,76,1,1,5,3
2.43134700918459,OH,67,1,2,5,1
0.291937219643938,OH,75,1,4,5,1
0.214651062363243,OH,59,1,4,5,1
0.852225408206508,OH,48,1,1,5,1
0.695961395636729,OH,74,1,1,5,2
3.1817695150276,OH,47,1,3,5,3
0.0923746267556391,OH,55,1,4,NA,NA
1.06392123652301,OH,60,1,3,5,3
0.378931435910122,OH,54,2,5,NA,NA
0.333984075005356,OH,68,1,3,NA,NA
1.10787083669215,OH,81,1,2,5,1
0.478436782497435,OH,65,1,2,5,3
1.65322280390883,OH,62,1,1,5,2
0.108958673542518,OH,52,1,2,3,NA
0.994115779678123,OH,62,1,3,5,3
1.2442957081567,OH,41,1,3,5,1
0.503846780973906,OH,32,1,1,1,NA
0.236748934720696,OH,54,1,2,3,NA
0.694609632183828,OH,54,1,1,5,1
1.98210284112397,OH,53,1,3,5,1
0.361983964991589,OH,63,1,1,5,1
0.781724329997837,OH,81,1,2,5,3
0.310369089385731,OH,54,1,1,5,1
1.38806893331244,OH,36,1,1,5,1
2.23847656306707,OH,66,1,3,5,3
0.574891344715469,OH,35,1,1,5,1
1.0249526775248,OH,34,1,3,1,NA
0.951658393154347,OH,38,1,1,5,3
0.375396702404265,OH,73,1,3,5,1
1.19477218866641,OH,58,1,1,NA,NA
0.683617672894538,OH,60,1,3,5,2
0.116579042844407,OH,68,1,4,5,1
0.4894754383748,OH,58,1,2,5,1
0.853418383776727,OH,68,1,2,5,1
0.838158877536677,OH,67,1,3,2,NA
0.776376857796289,OH,83,1,1,5,3
0.26478427891212,OH,67,1,2,NA,NA
0.546964387715958,OH,60,1,1,5,3
1.08658027308213,OH,73,1,1,5,1
1.42658419381315,OH,35,1,1,NA,NA
0.171846128637294,OH,73,1,3,NA,NA
0.885066913134959,OH,75,1,2,5,1
0.620122467587389,OH,70,1,5,5,3
0.155057321730208,OH,71,1,3,5,1
0.518824388160356,OH,74,1,1,5,1
0.830321171354588,OH,80,1,3,5,1
0.853418383776727,OH,71,1,2,5,1
0.735014043731238,OH,64,1,1,5,1
0.523032563886099,OH,52,1,1,5,1
3.02828457269341,OH,30,1,1,5,3
1.34394439843374,OH,64,1,1,5,3
0.32891231572222,OH,50,1,3,5,1
0.855402756884051,OH,71,1,1,5,3
0.198040819189519,OH,57,1,1,5,2
0.589535912203753,OH,69,2,2,NA,NA
1.24274763985536,OH,67,1,3,5,1
0.367678420353076,OH,62,1,3,1,NA
1.35593784668859,OH,62,1,2,5,3
1.67462369578904,OH,61,1,2,5,1
0.511715680239168,OH,66,1,1,5,2
3.54504739916768,OH,77,2,3,NA,NA
0.502513100875214,OH,58,1,1,5,1
0.225400852531932,OH,59,1,1,5,3
0.71903046001668,OH,69,1,3,5,1
0.969957823201523,OH,32,1,3,1,NA
0.353584916919204,OH,79,1,2,5,1
0.304832439442422,OH,63,1,1,5,2
2.44806333712771,OH,43,1,3,5,1
0.41709135962776,OH,77,1,1,5,3
1.72274449203527,OH,72,1,2,5,1
2.23847656306707,OH,64,1,3,5,1
2.62367848929462,OH,54,1,3,5,3
0.754538531316193,OH,56,1,2,5,1
0.57510262586728,OH,70,1,1,5,2
0.694609632183828,OH,66,1,1,5,1
1.33174937735081,OH,60,1,3,5,1
0.587905997100073,OH,70,1,1,5,1
0.309172775736339,OH,68,1,1,5,1
0.0635177769075063,OH,37,2,5,NA,NA
1.45159803848562,OH,80,1,3,5,1
0.811300023518701,OH,49,1,1,5,1
0.470003591513701,OH,72,1,2,5,1
1.50801928342198,OH,64,1,1,5,3
0.6790790341231,OH,59,1,1,5,1
1.0835446686342,OH,51,1,1,5,1
0.83190960974838,OH,76,1,3,5,3
