"","weight","age","voted","party","registered","method_vote"
"1",1.05306953194686,25,"yes","Democrat","Yes","Voted by mail or absentee"
"2",0.500553214397419,58,"yes","Independent","Yes","In person on election day"
"3",0.980498867361204,81,"yes","Republican","Yes","In person on election day"
"4",0.091839993810757,30,"yes","Other","Yes","Voted by mail or absentee"
"5",0.653284327440201,50,"yes","Democrat","Yes","Voted by mail or absentee"
"6",0.47995005905391,30,"no","Democrat","Yes","Dontknow_skipped_notasked"
"7",0.118525289743629,34,"no","Other","Yes","Dontknow_skipped_notasked"
"8",1.70297929380952,41,"yes","Democrat","Yes","Voted by mail or absentee"
"9",0.784844371219282,75,"yes","Democrat","Yes","In person early"
"10",0.615940972738871,51,"yes","Republican","Yes","In person on election day"
"11",0.259052096548851,59,"no","Independent","Yes","In person on election day"
"12",1.27363392568151,68,"yes","Independent","Yes","In person on election day"
"13",0.576580128211361,30,"yes","Democrat","Yes","Voted by mail or absentee"
"14",0.663667385256221,46,"yes","Democrat","Yes","In person on election day"
"15",0.761712274881218,85,"yes","Republican","Yes","Voted by mail or absentee"
"16",0.0489429579131573,66,"yes","Other","Yes","Voted by mail or absentee"
"17",1.04784582639595,48,"yes","Independent","Yes","In person early"
"18",0.712690192037163,65,"yes","Democrat","Yes","In person early"
"19",0.604277989501686,81,"yes","Independent","Yes","In person on election day"
"20",0.666726368230375,53,"yes","Republican","Yes","In person on election day"
"21",0.584561838680984,68,"yes","Democrat","Yes","In person early"
"22",0.9973297259938,60,"yes","Republican","Yes","In person on election day"
"23",1.30203212783569,61,"yes","Independent","Yes","In person on election day"
"24",0.55489742938685,81,"yes","Democrat","Yes","In person early"
"25",0.12489170118017,68,"NAorMissing","NAorMissing","Yes","Dontknow_skipped_notasked"
"26",0.317419143702677,47,"yes","Democrat","Yes","In person on election day"
"27",0.712690192037163,54,"yes","Democrat","Yes","In person on election day"
"28",0.11059707101229,57,"yes","Other","Yes","In person on election day"
"29",0.9231197719462,52,"yes","Republican","Yes","In person on election day"
"30",0.556837626090216,50,"yes","Democrat","Yes","In person on election day"
"31",0.590916860579319,52,"yes","Independent","Yes","Voted by mail or absentee"
"32",0.32230562793348,29,"no","Republican","Yes","Dontknow_skipped_notasked"
"33",0.604277989501686,73,"yes","Independent","Yes","In person on election day"
"34",0.253752731131858,67,"yes","Republican","Yes","Voted by mail or absentee"
"35",0.761999973710972,64,"yes","Democrat","Yes","Voted by mail or absentee"
"36",1.07956128195736,65,"yes","Republican","Yes","Voted by mail or absentee"
"37",0.556837626090216,51,"yes","Democrat","Yes","In person on election day"
"38",1.65573939832012,68,"no","Democrat","DontKnow","Dontknow_skipped_notasked"
"39",0.588930826327113,54,"yes","Independent","Yes","In person on election day"
